round_number,student_steps,promptfoo_percent,perplexity,cache_s,train_s,eval_s,avg_gen_ms,median_gen_ms,p95_gen_ms,num_prompts,avg_speedup,passed,timestamp
0,128,79.63,13.0,0.0,0.0,420.6,17278.7,17234.3,17619.5,12,,Yes,2026-09-08T19:30:28
1,64,79.63,12.97,643.7,348.4,505.5,8848.3,8803.2,9119.2,12,1.95,Yes,2026-09-08T19:55:26
2,32,79.63,17.09,656.1,346.8,514.3,4465.7,4377.7,4879.2,12,1.98,Yes,2026-09-08T20:20:44
3,16,70.37,26.08,524.8,346.8,786.8,2349.7,2299.1,2654.9,12,1.9,Yes,2026-09-08T20:48:23
4,8,59.26,63.63,459.3,345.9,1088.8,1372.1,1393.4,1568.2,12,1.71,Yes,2026-09-08T21:19:57
5,4,61.11,189.6,447.1,346.5,1165.5,861.7,828.9,1022.8,12,1.59,Yes,2026-09-08T21:52:37
6,2,42.59,414.11,412.0,345.2,1102.6,620.1,611.3,785.1,12,1.39,Yes,2026-09-08T22:23:37
7,1,38.89,456.03,396.8,344.7,1119.6,445.4,426.7,592.8,12,1.39,Yes,2026-09-08T22:54:39
